CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
ESTACION : 26103
NOMBRE : TRINCHERAS
ESTADO : SONORA
MUNICIPIO : TRINCHERAS
SITUACI�N : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM : Nulo
LATITUD : 030.399�
LONGITUD : -111.531�
ALTITUD : 510 msnm
EMISION : 06/04/2020
 PRECIP EVAP TMAX TMIN
14/05/1960 0 Nulo 38 10
15/05/1960 0 Nulo 39 7
16/05/1960 0 Nulo 32 9
17/05/1960 0 Nulo 38 12
18/05/1960 0 Nulo 41 10
19/05/1960 0 Nulo 39 8
20/05/1960 0 Nulo 40 11
21/05/1960 0 Nulo 39 10
22/05/1960 0 Nulo 37 9
23/05/1960 0 Nulo 34 6
24/05/1960 0 Nulo 38 6
25/05/1960 0 Nulo 39 9
26/05/1960 0 Nulo 40 6
27/05/1960 0 Nulo 38 9
28/05/1960 0 Nulo 41 11
29/05/1960 0 Nulo 40 12
30/05/1960 0 Nulo 38 10
31/05/1960 0 Nulo 36 11
01/06/1960 0 Nulo 30 11
02/06/1960 0 Nulo 44 11
03/06/1960 0 Nulo 41 8
04/06/1960 0 Nulo 40 15
05/06/1960 6 Nulo 38 20
06/06/1960 0 Nulo 39 18
07/06/1960 0 Nulo 40 16
08/06/1960 0 Nulo 41 10
09/06/1960 0 Nulo 43 8
10/06/1960 0 Nulo 42 15
11/06/1960 0 Nulo 43 10
12/06/1960 0 Nulo 44 12
13/06/1960 0 Nulo 45 13
14/06/1960 0 Nulo 45 14
15/06/1960 0 Nulo 43 15
16/06/1960 0 Nulo 45 15
17/06/1960 0 Nulo 45 14
18/06/1960 0 Nulo 45 12
19/06/1960 0 Nulo 45 14
20/06/1960 0 Nulo 45 18
21/06/1960 0 Nulo 45 20
22/06/1960 0 Nulo 45 16
23/06/1960 0 Nulo 45 14
24/06/1960 0 Nulo 45 20
25/06/1960 0 Nulo 45 16
26/06/1960 0 Nulo 45 19
27/06/1960 0 Nulo 45 15
28/06/1960 0 Nulo 45 18
29/06/1960 0 Nulo 45 16
30/06/1960 0 Nulo 45 14
01/07/1960 0 Nulo 45 18
02/07/1960 0 Nulo 45 15
03/07/1960 0 Nulo 45 13
04/07/1960 0 Nulo 45 12
05/07/1960 0 Nulo 45 20
06/07/1960 0 Nulo 45 18
07/07/1960 0 Nulo 45 16
08/07/1960 0 Nulo 45 14
09/07/1960 0 Nulo 45 25
10/07/1960 0 Nulo 43 18
11/07/1960 0 Nulo 42 20
12/07/1960 0 Nulo 45 20
13/07/1960 0 Nulo 45 23
14/07/1960 0 Nulo 44 27
15/07/1960 0 Nulo 43 24
16/07/1960 0 Nulo 42 23
17/07/1960 0 Nulo 40 22
18/07/1960 0 Nulo 45 20
19/07/1960 0 Nulo 45 15
20/07/1960 14 Nulo 45 13
21/07/1960 0 Nulo 44 20
22/07/1960 0 Nulo 42 18
23/07/1960 8 Nulo 44 16
24/07/1960 0 Nulo 43 15
25/07/1960 0 Nulo 45 14
26/07/1960 8 Nulo 43 13
27/07/1960 8 Nulo 40 18
28/07/1960 0 Nulo 43 14
29/07/1960 0 Nulo 44 13
30/07/1960 0 Nulo 45 12
31/07/1960 0 Nulo 45 10
01/08/1960 0 Nulo 45 8
02/08/1960 0 Nulo 45 4
03/08/1960 0 Nulo 45 12
04/08/1960 0 Nulo 45 10
05/08/1960 0 Nulo 45 8
06/08/1960 0 Nulo 45 10
07/08/1960 55 Nulo 42 14
08/08/1960 0 Nulo 38 20
09/08/1960 0 Nulo 36 22
10/08/1960 0 Nulo 35 20
11/08/1960 0 Nulo 37 18
12/08/1960 0 Nulo 35 16
13/08/1960 0 Nulo 33 15
14/08/1960 0 Nulo 35 14
15/08/1960 15 Nulo 44 12
16/08/1960 0 Nulo 43 17
17/08/1960 0 Nulo 42 16
18/08/1960 0 Nulo 45 14
19/08/1960 0 Nulo 45 13
20/08/1960 0 Nulo 44 12
21/08/1960 0 Nulo 43 14
22/08/1960 0 Nulo 45 12
23/08/1960 0 Nulo 44 10
24/08/1960 0 Nulo 40 8
25/08/1960 0 Nulo 38 15
26/08/1960 0 Nulo 40 18
27/08/1960 0 Nulo 43 16
28/08/1960 0 Nulo 44 21
29/08/1960 0 Nulo 45 23
30/08/1960 0 Nulo 42 24
31/08/1960 0 Nulo 38 21
01/09/1960 0 Nulo 40 23
02/09/1960 0 Nulo 42 20
03/09/1960 0 Nulo 44 23
04/09/1960 0 Nulo 43 20
05/09/1960 0 Nulo 41 18
06/09/1960 0 Nulo 43 21
07/09/1960 0 Nulo 42 20
08/09/1960 0 Nulo 39 18
09/09/1960 16 Nulo 36 22
10/09/1960 8 Nulo 38 22
11/09/1960 0 Nulo 42 20
12/09/1960 0 Nulo 43 23
13/09/1960 0 Nulo 44 22
14/09/1960 0 Nulo 43 23
15/09/1960 0 Nulo 44 22
16/09/1960 0 Nulo 42 20
17/09/1960 0 Nulo 43 18
18/09/1960 0 Nulo 44 16
19/09/1960 0 Nulo 42 16
20/09/1960 0 Nulo 41 18
21/09/1960 0 Nulo 43 16
22/09/1960 0 Nulo 44 18
23/09/1960 0 Nulo 43 16
24/09/1960 0 Nulo 44 18
25/09/1960 0 Nulo 43 16
26/09/1960 0 Nulo 40 15
27/09/1960 0 Nulo 42 15
28/09/1960 0 Nulo 43 17
29/09/1960 0 Nulo 44 18
30/09/1960 0 Nulo 43 17
01/10/1960 0 Nulo 43 15
02/10/1960 6 Nulo 42 14
03/10/1960 0 Nulo 44 12
04/10/1960 0 Nulo 33 10
05/10/1960 0 Nulo 39 16
06/10/1960 0 Nulo 40 16
07/10/1960 0 Nulo 41 14
08/10/1960 0 Nulo 42 12
09/10/1960 0 Nulo 30 15
10/10/1960 0 Nulo 29 14
11/10/1960 0 Nulo 30 10
12/10/1960 0 Nulo 31 10
13/10/1960 0 Nulo 33 11
14/10/1960 0 Nulo 33 12
15/10/1960 0 Nulo 28 10
16/10/1960 0 Nulo 28 7
17/10/1960 0 Nulo 26 8
18/10/1960 0 Nulo 27 7
19/10/1960 0 Nulo 28 6
20/10/1960 0 Nulo 36 8
21/10/1960 0 Nulo 37 8
22/10/1960 0 Nulo 39 9
23/10/1960 0 Nulo 38 10
24/10/1960 0 Nulo 38 12
25/10/1960 0 Nulo 35 12
26/10/1960 0 Nulo 30 15
27/10/1960 0 Nulo 35 12
28/10/1960 0 Nulo 37 13
29/10/1960 0 Nulo 34 11
30/10/1960 0 Nulo 33 10
31/10/1960 0 Nulo 38 10
01/11/1960 0 Nulo 34 9
02/11/1960 0 Nulo 32 8
03/11/1960 0 Nulo 31 6
04/11/1960 0 Nulo 30 11
05/11/1960 0 Nulo 30 18
06/11/1960 0 Nulo 31 17
07/11/1960 0 Nulo 38 15
08/11/1960 0 Nulo 39 8
09/11/1960 0 Nulo 28 7
10/11/1960 0 Nulo 32 5
11/11/1960 0 Nulo 31 10
12/11/1960 0 Nulo 32 8
13/11/1960 0 Nulo 30 7
14/11/1960 0 Nulo 27 8
15/11/1960 0 Nulo 28 9
16/11/1960 0 Nulo 26 3
17/11/1960 0 Nulo 25 4
18/11/1960 0 Nulo 30 8
19/11/1960 0 Nulo 31 4
20/11/1960 0 Nulo 33 6
21/11/1960 0 Nulo 30 5
22/11/1960 0 Nulo 33 8
23/11/1960 0 Nulo 32 6
24/11/1960 0 Nulo 33 9
25/11/1960 0 Nulo 26 12
26/11/1960 0 Nulo 27 10
27/11/1960 0 Nulo 34 12
28/11/1960 0 Nulo 36 5
29/11/1960 0 Nulo 28 7
30/11/1960 0 Nulo 32 6
01/12/1960 0 Nulo 30 9
02/12/1960 0 Nulo 28 12
03/12/1960 0 Nulo 30 8
04/12/1960 0 Nulo 33 6
05/12/1960 0 Nulo 28 5
06/12/1960 0 Nulo 27 4
07/12/1960 0 Nulo 25 6
08/12/1960 0 Nulo 28 4
09/12/1960 0 Nulo 30 6
10/12/1960 0 Nulo 21 7
11/12/1960 0 Nulo 20 7
12/12/1960 0 Nulo 25 6
13/12/1960 0 Nulo 25 5
14/12/1960 0 Nulo 23 5
15/12/1960 0 Nulo 25 4
16/12/1960 0 Nulo 24 4
17/12/1960 0 Nulo 22 6
18/12/1960 0 Nulo 20 8
19/12/1960 0 Nulo 28 6
20/12/1960 0 Nulo 30 6
21/12/1960 0 Nulo 31 4
22/12/1960 0 Nulo 30 6
23/12/1960 0 Nulo 28 5
24/12/1960 0 Nulo 30 6
25/12/1960 0 Nulo 28 7
26/12/1960 0 Nulo 21 6
27/12/1960 0 Nulo 21 1
28/12/1960 8 Nulo 24 8
29/12/1960 9 Nulo 25 6
30/12/1960 0 Nulo 23 7
31/12/1960 0 Nulo 24 5
01/01/1961 0 Nulo 24 4
02/01/1961 0 Nulo 23 5
03/01/1961 0 Nulo 22 6
04/01/1961 0 Nulo 25 4
05/01/1961 0 Nulo 24 2
06/01/1961 0 Nulo 26 4
07/01/1961 0 Nulo 28 8
08/01/1961 0 Nulo 26 3
09/01/1961 0 Nulo 24 5
10/01/1961 0 Nulo 25 6
11/01/1961 0 Nulo 30 8
12/01/1961 0 Nulo 28 6
13/01/1961 0 Nulo 29 9
14/01/1961 0 Nulo 27 10
15/01/1961 0 Nulo 25 8
16/01/1961 0 Nulo 23 6
17/01/1961 0 Nulo 25 4
18/01/1961 0 Nulo 22 7
19/01/1961 20 Nulo 32 4
20/01/1961 15 Nulo 22 3
21/01/1961 0 Nulo 20 12
22/01/1961 0 Nulo 25 12
23/01/1961 10 Nulo 22 10
24/01/1961 0 Nulo 23 8
25/01/1961 0 Nulo 22 7
26/01/1961 8 Nulo 23 6
27/01/1961 8 Nulo 24 8
28/01/1961 0 Nulo 22 9
29/01/1961 0 Nulo 23 7
30/01/1961 0 Nulo 25 6
31/01/1961 0 Nulo 23 5
01/02/1961 0 Nulo 22 6
02/02/1961 0 Nulo 24 6
03/02/1961 0 Nulo 23 7
04/02/1961 0 Nulo 21 5
05/02/1961 0 Nulo 22 4
06/02/1961 0 Nulo 23 6
07/02/1961 0 Nulo 22 6
08/02/1961 0 Nulo 21 5
09/02/1961 0 Nulo 28 6
10/02/1961 0 Nulo 24 3
11/02/1961 0 Nulo 25 5
12/02/1961 0 Nulo 23 8
13/02/1961 0 Nulo 18 8
14/02/1961 0 Nulo 30 7
15/02/1961 0 Nulo 33 8
16/02/1961 0 Nulo 30 9
17/02/1961 0 Nulo 28 7
18/02/1961 0 Nulo 30 5
19/02/1961 0 Nulo 27 8
20/02/1961 0 Nulo 28 6
21/02/1961 0 Nulo 30 5
22/02/1961 0 Nulo 30 6
23/02/1961 0 Nulo 27 8
24/02/1961 0 Nulo 25 5
25/02/1961 0 Nulo 28 7
26/02/1961 0 Nulo 26 9
27/02/1961 0 Nulo 25 11
28/02/1961 0 Nulo 32 10
01/03/1961 0 Nulo 31 9
02/03/1961 0 Nulo 28 7
03/03/1961 0 Nulo 38 5
04/03/1961 0 Nulo 35 8
05/03/1961 0 Nulo 26 9
06/03/1961 0 Nulo 38 7
07/03/1961 0 Nulo 27 7
08/03/1961 0 Nulo 35 5
09/03/1961 0 Nulo 35 8
10/03/1961 0 Nulo 35 9
11/03/1961 0 Nulo 33 8
12/03/1961 0 Nulo 35 10
13/03/1961 0 Nulo 37 9
14/03/1961 0 Nulo 37 10
15/03/1961 0 Nulo 36 8
16/03/1961 0 Nulo 34 6
17/03/1961 0 Nulo 32 10
18/03/1961 0 Nulo 33 9
19/03/1961 0 Nulo 27 6
20/03/1961 0 Nulo 25 7
21/03/1961 0 Nulo 27 4
22/03/1961 0 Nulo 24 8
23/03/1961 0 Nulo 26 9
24/03/1961 0 Nulo 35 10
25/03/1961 0 Nulo 33 6
26/03/1961 0 Nulo 31 8
27/03/1961 0 Nulo 33 6
28/03/1961 0 Nulo 30 8
29/03/1961 0 Nulo 28 5
30/03/1961 0 Nulo 25 8
31/03/1961 0 Nulo 30 6
01/04/1961 0 Nulo 33 8
02/04/1961 0 Nulo 30 9
03/04/1961 0 Nulo 28 7
04/04/1961 0 Nulo 39 7
05/04/1961 0 Nulo 35 10
06/04/1961 0 Nulo 33 8
07/04/1961 0 Nulo 34 10
08/04/1961 0 Nulo 37 8
09/04/1961 0 Nulo 35 6
10/04/1961 0 Nulo 36 8
11/04/1961 0 Nulo 37 9
12/04/1961 0 Nulo 38 8
13/04/1961 0 Nulo 35 12
14/04/1961 0 Nulo 33 10
15/04/1961 0 Nulo 34 8
16/04/1961 0 Nulo 38 6
17/04/1961 0 Nulo 33 8
18/04/1961 0 Nulo 39 16
19/04/1961 0 Nulo 40 16
20/04/1961 0 Nulo 38 18
21/04/1961 0 Nulo 40 16
22/04/1961 0 Nulo 36 18
23/04/1961 0 Nulo 31 10
24/04/1961 0 Nulo 27 9
25/04/1961 0 Nulo 37 5
26/04/1961 0 Nulo 31 5
27/04/1961 0 Nulo 30 9
28/04/1961 0 Nulo 29 12
29/04/1961 0 Nulo 30 9
30/04/1961 0 Nulo 40 13
01/05/1961 0 Nulo 28 14
02/05/1961 0 Nulo 29 15
03/05/1961 0 Nulo 32 14
04/05/1961 0 Nulo 38 12
05/05/1961 0 Nulo 37 16
06/05/1961 0 Nulo 39 16
07/05/1961 0 Nulo 38 14
08/05/1961 0 Nulo 39 12
09/05/1961 0 Nulo 37 16
10/05/1961 0 Nulo 39 14
11/05/1961 0 Nulo 38 10
12/05/1961 0 Nulo 44 8
13/05/1961 0 Nulo 45 9
14/05/1961 0 Nulo 44 16
15/05/1961 0 Nulo 45 15
16/05/1961 0 Nulo 44 20
17/05/1961 0 Nulo 45 23
18/05/1961 0 Nulo 44 20
19/05/1961 0 Nulo 43 18
20/05/1961 0 Nulo 44 8
21/05/1961 0 Nulo 45 9
22/05/1961 0 Nulo 38 16
23/05/1961 0 Nulo 40 11
24/05/1961 0 Nulo 41 12
25/05/1961 0 Nulo 44 15
26/05/1961 0 Nulo 45 18
27/05/1961 0 Nulo 44 14
28/05/1961 0 Nulo 42 12
29/05/1961 0 Nulo 45 15
30/05/1961 0 Nulo 37 18
31/05/1961 0 Nulo 37 12
01/06/1961 0 Nulo 44 11
02/06/1961 0 Nulo 44 10
03/06/1961 0 Nulo 45 15
04/06/1961 0 Nulo 44 18
05/06/1961 0 Nulo 45 14
06/06/1961 0 Nulo 45 18
07/06/1961 0 Nulo 44 20
08/06/1961 0 Nulo 45 18
09/06/1961 0 Nulo 43 16
10/06/1961 0 Nulo 45 20
11/06/1961 0 Nulo 43 18
12/06/1961 0 Nulo 44 16
13/06/1961 0 Nulo 45 14
14/06/1961 0 Nulo 45 16
15/06/1961 0 Nulo 45 20
16/06/1961 0 Nulo 45 24
17/06/1961 8 Nulo 45 20
18/06/1961 0 Nulo 45 20
19/06/1961 0 Nulo 45 16
20/06/1961 0 Nulo 45 22
21/06/1961 0 Nulo 45 24
22/06/1961 0 Nulo 45 20
23/06/1961 0 Nulo 45 15
24/06/1961 0 Nulo 45 27
25/06/1961 0 Nulo 45 29
26/06/1961 0 Nulo 45 25
27/06/1961 0 Nulo 45 27
28/06/1961 0 Nulo 45 29
29/06/1961 0 Nulo 45 30
30/06/1961 19 Nulo 44 24
01/07/1961 0 Nulo 40 24
02/07/1961 0 Nulo 45 25
03/07/1961 0 Nulo 43 20
04/07/1961 0 Nulo 42 19
05/07/1961 0 Nulo 40 19
06/07/1961 0 Nulo 40 21
07/07/1961 0 Nulo 42 20
08/07/1961 0 Nulo 43 18
09/07/1961 0 Nulo 42 16
10/07/1961 0 Nulo 43 12
11/07/1961 0 Nulo 45 14
12/07/1961 0 Nulo 42 16
13/07/1961 0 Nulo 43 12
14/07/1961 0 Nulo 45 15
15/07/1961 0 Nulo 43 18
16/07/1961 0 Nulo 45 19
17/07/1961 0 Nulo 45 15
18/07/1961 0 Nulo 45 13
19/07/1961 0 Nulo 45 12
20/07/1961 0 Nulo 45 11
21/07/1961 0 Nulo 45 15
22/07/1961 10 Nulo 45 12
23/07/1961 0 Nulo 45 13
24/07/1961 0 Nulo 45 12
25/07/1961 0 Nulo 45 20
26/07/1961 18 Nulo 41 19
27/07/1961 0 Nulo 45 20
28/07/1961 9 Nulo 42 15
29/07/1961 17 Nulo 41 21
30/07/1961 0 Nulo 38 22
31/07/1961 0 Nulo 39 12
01/08/1961 0 Nulo 38 12
02/08/1961 0 Nulo 37 12
03/08/1961 8 Nulo 43 15
04/08/1961 0 Nulo 38 20
05/08/1961 10 Nulo 44 15
06/08/1961 10 Nulo 45 18
07/08/1961 0 Nulo 45 20
08/08/1961 12 Nulo 43 18
09/08/1961 0 Nulo 44 22
10/08/1961 0 Nulo 44 15
11/08/1961 0 Nulo 45 18
12/08/1961 0 Nulo 45 20
13/08/1961 24 Nulo 40 15
14/08/1961 0 Nulo 42 19
15/08/1961 12 Nulo 40 15
16/08/1961 0 Nulo 44 20
17/08/1961 0 Nulo 45 19
18/08/1961 0 Nulo 43 15
19/08/1961 0 Nulo 45 20
20/08/1961 0 Nulo 45 15
21/08/1961 0 Nulo 44 15
22/08/1961 25 Nulo 43 17
23/08/1961 0 Nulo 44 20
24/08/1961 0 Nulo 45 18
25/08/1961 0 Nulo 45 20
26/08/1961 0 Nulo 45 23
27/08/1961 0 Nulo 43 26
28/08/1961 0 Nulo 45 28
29/08/1961 9 Nulo 44 26
30/08/1961 0 Nulo 35 20
31/08/1961 0 Nulo 42 20
01/09/1961 0 Nulo 45 25
02/09/1961 0 Nulo 43 25
03/09/1961 0 Nulo 42 16
04/09/1961 0 Nulo 43 18
05/09/1961 0 Nulo 42 15
06/09/1961 0 Nulo 40 19
07/09/1961 0 Nulo 42 15
08/09/1961 0 Nulo 43 18
09/09/1961 0 Nulo 38 15
10/09/1961 24 Nulo 41 22
11/09/1961 15 Nulo 38 20
12/09/1961 35 Nulo 39 22
13/09/1961 0 Nulo 39 24
14/09/1961 0 Nulo 41 27
15/09/1961 6 Nulo 38 25
16/09/1961 0 Nulo 40 23
17/09/1961 0 Nulo 39 26
18/09/1961 0 Nulo 35 28
19/09/1961 0 Nulo 37 25
20/09/1961 0 Nulo 35 28
21/09/1961 0 Nulo 38 26
22/09/1961 0 Nulo 35 28
23/09/1961 0 Nulo 38 25
24/09/1961 0 Nulo 35 28
25/09/1961 0 Nulo 37 25
26/09/1961 0 Nulo 36 26
27/09/1961 0 Nulo 38 25
28/09/1961 0 Nulo 37 22
29/09/1961 0 Nulo 36 24
30/09/1961 0 Nulo 37 22
01/10/1961 0 Nulo 38 26
02/10/1961 0 Nulo 35 24
03/10/1961 0 Nulo 34 22
04/10/1961 0 Nulo 35 20
05/10/1961 0 Nulo 37 22
06/10/1961 0 Nulo 35 20
07/10/1961 0 Nulo 36 18
08/10/1961 0 Nulo 37 22
09/10/1961 0 Nulo 30 20
10/10/1961 0 Nulo 29 23
11/10/1961 0 Nulo 36 8
12/10/1961 0 Nulo 35 10
13/10/1961 0 Nulo 33 15
14/10/1961 0 Nulo 34 14
15/10/1961 0 Nulo 37 12
16/10/1961 0 Nulo 35 15
17/10/1961 0 Nulo 33 12
18/10/1961 0 Nulo 32 16
19/10/1961 0 Nulo 33 15
20/10/1961 0 Nulo 35 14
21/10/1961 0 Nulo 33 16
22/10/1961 0 Nulo 32 14
23/10/1961 0 Nulo 34 12
24/10/1961 0 Nulo 32 15
25/10/1961 0 Nulo 34 18
26/10/1961 0 Nulo 35 14
27/10/1961 0 Nulo 34 16
28/10/1961 0 Nulo 30 17
29/10/1961 10 Nulo 35 19
30/10/1961 0 Nulo 34 24
31/10/1961 0 Nulo 36 7
01/11/1961 0 Nulo 32 10
02/11/1961 0 Nulo 33 11
03/11/1961 0 Nulo 30 11
04/11/1961 0 Nulo 33 5
05/11/1961 0 Nulo 32 8
06/11/1961 16 Nulo 30 9
07/11/1961 10 Nulo 24 10
08/11/1961 0 Nulo 23 12
09/11/1961 0 Nulo 23 11
10/11/1961 0 Nulo 30 9
11/11/1961 0 Nulo 32 10
12/11/1961 0 Nulo 33 12
13/11/1961 0 Nulo 30 16
14/11/1961 0 Nulo 32 12
15/11/1961 0 Nulo 33 14
16/11/1961 0 Nulo 31 13
17/11/1961 0 Nulo 33 15
18/11/1961 0 Nulo 30 16
19/11/1961 0 Nulo 33 8
20/11/1961 0 Nulo 32 10
21/11/1961 0 Nulo 33 12
22/11/1961 0 Nulo 34 15
23/11/1961 0 Nulo 33 16
24/11/1961 0 Nulo 31 14
25/11/1961 0 Nulo 33 12
26/11/1961 0 Nulo 32 10
27/11/1961 0 Nulo 31 8
28/11/1961 0 Nulo 32 10
29/11/1961 0 Nulo 33 11
30/11/1961 0 Nulo 30 8
01/12/1961 0 Nulo 30 5
02/12/1961 0 Nulo 32 6
03/12/1961 0 Nulo 32 9
04/12/1961 0 Nulo 25 9
05/12/1961 0 Nulo 30 9
06/12/1961 1 Nulo 29 5
07/12/1961 4 Nulo 21 1
08/12/1961 1 Nulo 23 3
09/12/1961 0 Nulo 23 3
10/12/1961 1 Nulo 21 3
11/12/1961 2 Nulo 22 1
12/12/1961 0 Nulo 23 2
13/12/1961 0 Nulo 21 2
14/12/1961 2 Nulo 21 5
15/12/1961 7 Nulo 23 2
16/12/1961 12 Nulo 21 1
17/12/1961 0 Nulo 22 4
18/12/1961 0 Nulo 25 7
19/12/1961 0 Nulo 25 6
20/12/1961 0 Nulo 30 7
21/12/1961 0 Nulo 31 6
22/12/1961 0 Nulo 30 5
23/12/1961 0 Nulo 33 5
24/12/1961 0 Nulo 33 5
25/12/1961 0 Nulo 32 3
26/12/1961 0 Nulo 31 3
27/12/1961 0 Nulo 30 4
28/12/1961 0 Nulo 29 9
29/12/1961 0 Nulo 30 9
30/12/1961 0 Nulo 31 5
31/12/1961 0 Nulo 30 6
01/01/1962 0 Nulo 29 5
02/01/1962 0 Nulo 28 4
03/01/1962 0 Nulo 30 5
04/01/1962 0 Nulo 27 0
05/01/1962 0 Nulo 26 1
06/01/1962 0 Nulo 29 3
07/01/1962 0 Nulo 31 4
08/01/1962 0 Nulo 26 4
09/01/1962 0 Nulo 32 5
10/01/1962 0 Nulo 27 4
11/01/1962 0 Nulo 21 4
12/01/1962 0 Nulo 25 3
